,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
81,2013-12-21,171.01459975,398.67455999999993,165.97054324,102.7287,10611.2931244,309.45168,164.39208333333332,28935.189999999995
82,2013-12-22,157.58481175999998,377.6733100000001,151.91372965,140.3298,10629.669442299999,306.03672,166.73458333333332,27643.950000000004
83,2013-12-23,173.77371372,417.19826,167.63670901,207.4214,10692.294936299999,312.05976,159.3725,30279.660000000003
84,2013-12-24,160.2034649,376.74962999999997,154.77512443,169.0078,10722.0976695,314.39712,152.97416666666666,26792.83
85,2013-12-25,138.72085091,318.41217,133.71156667,125.0605,10733.7420031,316.36944,103.82833333333333,21726.409999999996
86,2013-12-26,168.38445141,312.41706,162.70369709,107.4934,10696.3079234,319.85447999999997,110.98666666666668,21298.890000000003
87,2013-12-27,174.94292816,359.55442,168.42889979,105.1795,10650.5548139,321.70608000000004,102.96916666666668,24446.370000000006
88,2013-12-28,168.4697594,294.39968000000005,162.82641597999998,96.5325,10602.835415,323.99183999999997,109.20416666666665,20379.5
89,2013-12-29,157.23903534,380.98877,151.35511831,95.752,10575.0542767,320.5824,151.53833333333333,27398.309999999998
90,2013-12-30,169.5303235,439.9219500000001,164.87596154,93.4712,10525.2403086,319.6524,165.545,31807.61
91,2013-12-31,158.33057657999998,421.36282,152.937083,94.6273,10495.055419299999,319.84464,175.19666666666663,30830.83
92,2014-01-01,133.32295494,416.83660000000003,129.77279567,89.094,10485.0676405,322.72056,148.3816666666667,29785.01
93,2014-01-02,159.51474538,470.97418,153.4741194,81.6098,10450.039772200002,321.90191999999996,148.83875,34026.8
94,2014-01-03,168.79988461000002,435.62770000000006,162.3680172,99.4411,10419.5560513,315.99768,165.14,32327.989999999998
95,2014-01-04,164.10683144,424.86601999999993,157.250885,85.6282,10374.4399056,322.74576,158.02875,30508.09
96,2014-01-05,146.69323025,447.99965999999995,143.6411642,84.257,10359.709667,320.84304,170.04291666666668,32854.88
97,2014-01-06,149.56899897,467.69766,145.29268944999998,143.8221,10390.3817544,320.34264,186.5675,34493.380000000005
98,2014-01-07,166.5450097,456.2095300000001,163.8940922,125.2964,10397.5878032,319.50359999999995,171.3458333333333,33302.76
99,2014-01-08,167.53466845,473.81445,167.05776813999998,107.2334,10390.1474579,311.99232,164.43249999999998,34461.920000000006
100,2014-01-09,168.33634657,467.14412,167.86700327,109.5247,10374.653245700001,315.34296,161.12541666666667,34196.55
101,2014-01-10,172.57266757,446.95654999999994,168.43079135,100.4155,10350.8310269,311.64480000000003,160.71583333333334,32657.609999999993
102,2014-01-11,166.13670378,456.55807000000004,160.74634653,104.3007,10335.5453526,313.35216,139.26749999999998,33058.2
103,2014-01-12,148.18126685000001,364.13535,144.94203532,99.6995,10326.3665865,315.65016,112.18833333333335,25874.189999999995
104,2014-01-13,175.99898166999998,419.14492999999993,169.81315791999998,81.6826,10275.4490094,313.9512,156.68708333333336,29800.350000000002
105,2014-01-14,181.10960052,395.98993,174.58750741999998,74.6816,10211.5853924,309.31991999999997,150.26416666666668,29538.629999999997
106,2014-01-15,181.21536405,464.58435,176.25822807,76.9554,10155.5773854,304.80935999999997,149.87750000000003,34158.85
107,2014-01-16,182.42517192,427.65556999999995,176.02881817,80.294,10094.911119100001,303.26544,148.72333333333333,30457.739999999998
108,2014-01-17,182.71523713,454.4879899999999,176.59959130000001,78.6217,10039.0200067,302.1684,153.33916666666667,32255.840000000004
109,2014-01-18,172.04178472000004,426.98237,167.73967318,66.5116,9980.3626631,302.94816000000003,159.88750000000002,30600.31
110,2014-01-19,154.61588199000002,439.58241,150.24605942,69.2232,9942.2980288,303.60096000000004,159.155,32548.589999999997
111,2014-01-20,180.3260294,467.47626,175.79520301,89.0879,9883.7051763,304.48824,166.71124999999998,34620.34
112,2014-01-21,184.51865806,465.27101999999996,178.81692529,71.0409,9826.923278299999,302.89968,157.76166666666666,34412.92
113,2014-01-22,181.91116048,472.09468999999996,178.92348908000002,85.8552,9768.530308700001,304.43280000000004,159.10166666666666,34871.56
114,2014-01-23,182.79803502000001,406.6771800000001,178.29585284,75.2665,9705.5827865,298.74480000000005,162.57958333333332,30095.629999999994
115,2014-01-24,183.20334706,429.67835,179.50344367,65.3469,9634.9523566,298.57104,159.72875000000002,31041.559999999998
116,2014-01-25,175.38510778999998,453.2309799999999,169.87306436,72.0316,9568.375377,299.65247999999997,155.72958333333335,32352.27
117,2014-01-26,156.73108767,508.02739,151.41082944,71.3541,9537.9739215,304.87944,168.27541666666664,36308.13
118,2014-01-27,184.21979003,450.86813,177.3224958,63.4339,9464.5953596,304.04280000000006,166.67708333333334,32955.31
119,2014-01-28,187.29904870000001,473.2295,181.06058897999998,72.7378,9387.8119571,303.90096,169.705,35063.47
120,2014-01-29,186.32284135,440.13196999999997,182.2800774,79.5437,9332.3425265,302.74896,179.23499999999999,32926.86
121,2014-01-30,184.05005680000002,493.03535,180.10907011,74.2273,9265.4344511,307.76448,175.53666666666666,35322.51
122,2014-01-31,182.61868446999998,507.2756299999999,177.48804715,71.5096,9210.7354302,310.29216,189.67916666666665,35654.37
123,2014-02-01,172.70980858000001,439.6479200000001,168.14785017,69.6456,9151.7261439,306.36983999999995,179.5858333333333,30172.860000000004
124,2014-02-02,152.88800382,406.58158999999995,151.37530644,82.7752,9127.8876589,304.78656,191.83500000000004,28428.21
125,2014-02-03,180.37436832999998,480.827,176.23315631,95.5731,9078.9115906,304.60032,192.44000000000003,34287.13
126,2014-02-04,183.35034736,530.8879599999999,179.24809878,72.0703,9021.9418846,299.11104,194.66833333333338,38302.95
127,2014-02-05,181.89156334,535.2944100000001,178.00550438,74.9476,8961.925658200002,297.75840000000005,211.52333333333334,38643.63999999999
128,2014-02-06,181.88189224,516.29435,177.82293213,80.2226,8914.182992200002,292.4868000000001,209.035,36398.86
129,2014-02-07,184.32035462000002,541.4799499999999,180.01169036000002,73.7087,8860.551706600001,292.15968,203.34333333333333,37593.01
130,2014-02-08,174.61207654999998,517.52402,170.42475159,67.3398,8797.798605799999,292.73447999999996,201.78208333333336,35783.979999999996
131,2014-02-09,157.51496205,504.94146,153.93302675,65.7645,8763.056708200002,296.19,190.93416666666667,35004.240000000005
132,2014-02-10,182.44975631,502.0047,179.27930250999998,75.0577,8694.5856563,296.2248000000001,190.77916666666667,34959.159999999996
133,2014-02-11,183.76715323000002,534.03073,181.56338734,72.545,8639.179267,292.69944,212.91875000000002,37135.069999999985
134,2014-02-12,185.12172788,548.5398499999999,182.80308066999999,67.5328,8569.0391534,292.66056,189.26875000000004,38385.08
